10,3,34,Italy,Carlo Felice Trossi,3
Italy,Giovanbattista Guidotti
10,4,44,United Kingdom,Bob Gerard,3
United Kingdom,Cuth Harrison
10,5,24,France,Maurice Trintignant,4
10,6,22,France,Louis Rosier,5
10,7,40,United Kingdom,Leslie Johnson,6
10,Ret,6,Italy,Consalvo Sanesi,0
10,Ret,28,France,Henri Louveau,0
10,Ret,34,France,Eugène Chaboud,0
10,Ret,32,France,Yves Giraud-Cabantous,7
10,Ret,36,France,Emile Cornet,0
10,Ret,10,France,Raymond Sommer,0
10,Ret,18,Switzerland,Christian Kautz,0
10,Ret,20,Monaco,Louis Chiron,0
10,Ret,42,United Kingdom,Peter Whitehead,0
10,Ret,16,Switzerland,Emmanuel de Graffenried,0
10,Ret,30,France,Benoit Falchetto,0
11,1,24,Italy,Consalvo Sanesi,1
11,2,30,Italy,Carlo Felice Trossi,2
11,3,6,Italy,Luigi Villoresi,3
11,4,16,Italy,Achille Varzi,4
11,5,34,Italy,Alberto Ascari,5
11,6,18,Monaco,Louis Chiron,6
11,7,8,France,Raymond Sommer,7
11,8,32,Switzerland,Emmanuel de Graffenried,8
11,9,2,Italy,Alessandro Gaboardi,9
11,10,14,France,Pierre Levegh,10
11,11,52,Italy,Lorenzo Arrigoni,11
11,12,36,France,"Raph",12
11,13,12,France,Eugène Chaboud,13
11,14,22,France,Charles Pozzi,14
11,15,38,Italy,Arialdo Ruggeri,15
11,16,46,Italy,Giovanni Minozzi,16
11,17,42,Italy,Gaetano dell'Acqua,17
11,18,28,Italy,Giovanni Bracco,18
11,19,10,Italy,Lamberto Grolla,19
11,20,56,Italy,Mario Porrino,20
11,21,44,Italy,Carlo Pesci,21
11,22,54,France,Henri Louveau,22
11,23,26,Thailand,Prince Bira,23
11,24,4,Italy,Nello Pagani,24
12,1,30,Italy,Carlo Felice Trossi,1
12,2,16,Italy,Achille Varzi,2
12,3,24,Italy,Consalvo Sanesi,3
12,4,2,Italy,Alessandro Gaboardi,4
12,5,34,Italy,Alberto Ascari,5
12,6,54,France,Henri Louveau,6
12,7,22,France,Charles Pozzi,7
12,8,12,France,Eugène Chaboud,8
12,9,44,Italy,Carlo Pesci,9
12,Ret,56,Italy,Mario Porrino,0
12,Ret,52,Italy,Lorenzo Arrigoni,0
12,Ret,10,Italy,Lamberto Grolla,0
12,Ret,28,Italy,Giovanni Bracco,0
12,Ret,6,Italy,Luigi Villoresi,0
12,Ret,42,Italy,Gaetano dell'Acqua,0
12,Ret,8,France,Raymond Sommer,0
12,Ret,14,France,Pierre Levegh,0
12,Ret,36,France,"Raph",0
12,Ret,4,Italy,Nello Pagani,0
12,Ret,26,Thailand,Prince Bira,0
12,Ret,18,Monaco,Louis Chiron,0
12,Ret,32,Switzerland,Emmanuel de Graffenried,0
12,DNS,38,Italy,Arialdo Ruggeri,0
12,DNS,46,Italy,Giovanni Minozzi,0
13,1,,France,Henri Louveau,1
13,2,,France,Louis Chiron,2
13,3,,France,Eugène Chaboud,3
14,1,6,France,Louis Chiron,1
14,2,24,France,Henri Louveau,2
14,3,2,France,Eugène Chaboud,3
14,4,30,France,Louis Rosier,3
14,5,32,France,Charles Pozzi,4
