104,1951 Albi Grand Prix – grid,1951-08-04,1,1
105,1951 Albi Grand Prix,1951-08-05,1,2
106,1951 Pescara Grand Prix – grid,1951-08-14,1,1
107,1951 Pescara Grand Prix,1951-08-15,1,2
108,1951 Bari Grand Prix,1951-09-01,1,1
109,1951 Bari Grand Prix,1951-09-02,1,2
110,1951 Italian Grand Prix – qualifying,1951-09-15,1,3
111,1951 Italian Grand Prix,1951-09-16,1,4
112,1951 Goodwood Trophy,1951-09-29,1,2
113,1951 Spanish Grand Prix – qualifying,1951-10-27,1,3
114,1951 Spanish Grand Prix,1951-10-28,1,4
115,1952 Syracuse Grand Prix - grid,1952-03-15,1,1
116,1952 Syracuse Grand Prix,1952-03-16,1,2
117,1952 Gran Premio del Valentino - grid,1952-04-05,1,1
118,1952 Gran Premio del Valentino,1952-04-06,1,2
119,1952 Richmond Trophy - grid,1952-04-13,1,1
120,1952 Pau Grand Prix - grid,1952-04-13,1,1
121,1952 Richmond Trophy,1952-04-14,1,2
122,1952 Pau Grand Prix,1952-04-14,1,2
123,1952 Marseiile Grand Prix - grid,1952-04-26,1,1
124,1952 Marseiile Grand Prix,1952-04-27,1,2
125,1952 BRDC International Trophy - heat 1,1952-05-09,1,1
126,1952 BRDC International Trophy - heat 2,1952-05-09,1,1
127,1952 BRDC International Trophy,1952-05-10,1,2
128,1952 Swiss Grand Prix - qualifying,1952-05-17,1,3
129,1952 Swiss Grand Prix,1952-05-18,1,4
130,1952 Paris Grand Prix - grid,1952-05-24,1,1
131,1952 Eifelrennen,1952-05-25,1,2
132,1952 Paris Grand Prix,1952-05-25,1,2
133,1952 Grand Prix de l'Albigeois - grid,1952-05-31,1,1
134,1952 Grand Prix de l'Albigeois,1952-06-01,1,2
135,1952 Ulster Trophy - grid,1952-06-06,1,1
136,1952 Ulster Trophy,1952-06-07,1,2
137,1952 Monza Grand Prix - grid,1952-06-07,1,1
138,1952 Lac Grand Prix - grid,1952-06-07,1,1
139,1952 Monza Grand Prix,1952-06-08,1,2
140,1952 Lac Grand Prix,1952-06-08,1,2
141,1952 Belgian Grand Prix - qualifying,1952-06-21,1,3
142,1952 Belgian Grand Prix,1952-06-22,1,4
143,1952 Marne Grand Prix - grid,1952-06-28,1,1
144,1952 Marne Grand Prix,1952-06-29,1,2
145,1952 French Grand Prix - qualifying,1952-07-05,1,3
146,1952 French Grand Prix,1952-07-06,1,4
147,1952 Sable d'Olonne Grand Prix - grid,1952-07-12,1,1
148,1952 Sable d'Olonne Grand Prix,1952-07-13,1,2
149,1952 British Grand Prix - qualifying,1952-07-18,1,3
150,1952 British Grand Prix,1952-07-19,1,4
151,1952 Daily Mail Trophy - F2,1952-08-02,1,2
152,1952 Daily Mail Trophy - F1,1952-08-02,1,2
153,1952 German Grand Prix - qualifying,1952-08-02,1,3
154,1952 German Grand Prix,1952-08-03,1,4
155,1952 Comminges Grand Prix - grid,1952-08-09,1,1
156,1952 Comminges Grand Prix,1952-08-10,1,2
157,1952 Dutch Grand Prix - qualifying,1952-08-16,1,3
158,1952 Dutch Grand Prix,1952-08-17,1,4
159,1952 Baule Grand Prix - grid,1952-08-23,1,1
160,1952 Baule Grand Prix,1952-08-24,1,2
161,1952 Italian Grand Prix - qualifying,1952-09-06,1,3
162,1952 Italian Grand Prix,1952-09-07,1,4
163,1952 Modena Grand Prix - grid,1952-09-13,1,1
164,1952 Modena Grand Prix,1952-09-14,1,2
165,1953 Argentine Grand Prix – qualifying,1953-01-17,1,3
166,1953 Argentine Grand Prix,1953-01-18,1,4
167,1953 Syracuse Grand Prix – grid,1953-03-21,1,1
168,1953 Syracuse Grand Prix,1953-03-22,1,2
169,1953 Pau Grand Prix – grid,1953-04-05,1,1
170,1953 Lavant Cup – qualifying,1953-04-05,1,1
171,1953 Pau Grand Prix,1953-04-06,1,2
172,1953 Lavant Cup,1953-04-06,1,2
173,1953 Bordeaux Grand Prix – grid,1953-05-02,1,1
174,1953 Bordeaux Grand Prix,1953-05-03,1,2
175,1953 BRDC International Trophy – heat 1,1953-05-08,1,1
176,1953 BRDC International Trophy – heat 2,1953-05-08,1,1
177,1953 BRDC International Trophy – final,1953-05-09,1,2
178,1953 Napoli Grand Prix – grid,1953-05-09,1,1
179,1953 Napoli Grand Prix,1953-05-10,1,2
180,1953 Ulster Trophy – heat 1,1953-05-15,1,1
181,1953 Ulster Trophy – heat 2,1953-05-15,1,1
182,1953 Ulster Trophy – final,1953-05-16,1,2
183,1953 Grand Prix des Frontieres,1953-05-24,1,2
184,1953 Coronation Trophy – heat 1,1953-05-24,1,1
185,1953 Coronation Trophy – heat 2,1953-05-24,1,1
186,1953 Coronation Trophy – final,1953-05-25,1,2
187,1953 Albi Grand Prix – F2 heat,1953-05-30,1,1
188,1953 Albi Grand Prix – F1 heat,1953-05-30,1,1
189,1953 Eifelrennen,1953-05-31,1,2
190,1953 Albi Grand Prix – final (F2),1953-05-31,1,2
191,1953 Albi Grand Prix – final (F1),1953-05-31,1,2
192,1953 Dutch Grand Prix – qualifying,1953-06-06,1,3
193,1953 Dutch Grand Prix,1953-06-07,1,4
194,1953 Belgian Grand Prix – qualifying,1953-06-20,1,3
195,1953 Belgian Grand Prix,1953-06-21,1,4
196,1953 Rouen-les-Essarts Grand Prix – grid,1953-06-27,1,1
197,1953 Rouen-les-Essarts Grand Prix,1953-06-28,1,2
198,1953 French Grand Prix – qualifying,1953-07-04,1,3
199,1953 French Grand Prix,1953-07-05,1,4
200,1953 Crystal Palace Trophy – grid,1953-07-10,1,1
201,1953 Crystal Palace Trophy,1953-07-11,1,2
202,1953 Avusrennen,1953-07-12,1,2
203,1953 British Grand Prix – qualifying,1953-07-17,1,3
204,1953 British Grand Prix,1953-07-18,1,4
205,1953 Lac Grand Prix – grid,1953-07-25,1,1
206,1953 Lac Grand Prix,1953-07-26,1,2
207,1953 German Grand Prix – qualifying,1953-08-01,1,3
208,1953 German Grand Prix,1953-08-02,1,4
209,1953 Sables d'Olone Grand Prix,1953-08-09,1,2
210,1953 Swiss Grand Prix – qualifying,1953-08-22,1,3
211,1953 Swiss Grand Prix,1953-08-23,1,4
212,1953 Cadours Grand Prix – heat 1,1953-08-29,1,1
213,1953 Cadours Grand Prix – heat 2,1953-08-29,1,1
214,1953 Cadours Grand Prix – repechage,1953-08-30,1,1
