151,3,4,,Mike Hawthorn,1
151,4,3,,Alan Brown,2
151,5,1,,Stirling Moss,2
151,8,10,,Bobby Baird,3
151,9,2,,Eric Brandon,4
151,11,16,,Peter Whitehead,5
151,13,8,,Ninian Sanderson,6
151,15,7,,Dennis Poore,6
151,16,11,,Franco Cortese,7
151,17,15,,Kenneth Downing,8
151,18,9,,Bill Dobson,8
151,20,33,,Spencer King,9
151,21,14,,Archie Bryde,9
151,R,37,,Oliver Simpson,0
151,R,36,,Ron Willis,0
151,R,5,,André Loens,0
151,R,38,,Horace Richards,0
151,R,35,,Harry Schell,0
151,R,34,,Emmanuel de Graffenried,0
151,R,12,,John Barber,0
120,1,50,,José Froilán González,1
120,2,10,,Mike Hawthorn,2
120,3,60,,Duncan Hamilton,2
120,4,34,,George Abecassis,3
120,5,52,,Graham Whitehead,3
120,6,4,,Eric Brandon,4
120,7,59,,John James,4
120,8,57,,Joe Kelly,4
120,9,61,,Bobby Baird,4
120,10,33,,Bill Dobson,4
120,11,36,,Gordon Watson,4
120,12,42,,Tony Gaze,4
120,R,6,,Bob Gerard,0
120,R,53,,Tony Rolt,0
129,1,30,,Piero Taruffi,1
129,2,42,,Rudolf Fischer,2
129,3,6,,Jean Behra,3
129,4,22,,Ken Wharton,4
129,5,26,,Alan Brown,5
129,6,38,,Emmanuel de Graffenried,6
129,7,44,,Peter Hirt,7
129,8,24,,Eric Brandon,8
129,DNS,14,,Maurice Trintignant,0
129,R,32,,André Simon,0
,Giuseppe Farina
129,R,16,,George Abecassis,0
129,R,28,,Giuseppe Farina,0
129,R,2,,Hans Stuck,0
129,R,40,,Harry Schell,0
129,R,50,,Max de Terra,0
129,R,18,,Peter Collins,0
129,R,10,,Prince Bira,0
129,R,8,,Robert Manzon,0
129,R,4,,Toni Ulmen,0
129,R,20,,Lance Macklin,9
129,R,12,,Louis Rosier,9
129,R,46,,Stirling Moss,9
142,1,4,,Alberto Ascari,1
142,2,2,,Giuseppe Farina,2
142,3,14,,Robert Manzon,2
142,4,8,,Mike Hawthorn,3
142,5,28,,Paul Frère,4
142,6,10,,Alan Brown,4
142,7,34,,Charles de Tornaco,5
142,8,18,,Johnny Claes,5
142,9,12,,Eric Brandon,5
142,10,20,,Prince Bira,6
142,11,24,,Lance Macklin,6
142,12,30,,Roger Laurent,6
142,13,38,,Arthur Legat,7
142,14,44,,Robert O'Brien,8
142,15,42,,Tony Gaze,8
142,R,22,,Louis Rosier,0
142,R,26,,Peter Collins,0
142,R,40,,Robin Montgomerie-Charrington,0
142,R,32,,Stirling Moss,0
142,R,16,,Jean Behra,9
142,R,36,,Ken Wharton,9
142,R,6,,Piero Taruffi,9
146,1,8,,Alberto Ascari,1
146,2,10,,Giuseppe Farina,2
146,3,12,,Piero Taruffi,3
146,4,2,,Robert Manzon,4
146,5,44,,Maurice Trintignant,5
146,6,22,,Peter Collins,6
146,7,4,,Jean Behra,6
146,8,28,,Philippe Étancelin,6
146,9,20,,Lance Macklin,6
146,10,24,,Yves Giraud-Cabantous,7
146,11,34,,Peter Hirt,8
,Rudolf Fischer
