Race,Pos,Nat.,Driver,
4,3,Arg,José Froilán Gonzalez,2
4,4,It,Alberto Ascari,3
4,5,It,Giuseppe Farina,3
4,6,It,Luigi Villoresi,4
4,7,Swz,Emmanuel de Graffenried,5
4,8,Fr,Louis Rosier,6
4,9,Arg,Onofre Marimón,7
4,10,Fr,Jean Behra,7
4,11,GB,Bob Gerard,7
4,12,Bel,Johnny Claes,8
4,13,GB,Peter Collins,9
4,14,Fr,Yves Giraud-Cabantous,10
4,15,Mon,Louis Chiron,11
4,R,It,Felice Bonetto,0
4,R,GB,Stirling Moss,0
4,R,Th,B. Bira,0
4,R,Fr,Élie Bayol,0
4,R,GB,Ken Wharton,0
4,R,Fr,Maurice Trintignant,0
4,R,GB,Lance Macklin,0
4,R,USA,Harry Schell,0
4,R,Arg,Roberto Mieres,0
4,R,GB,Roy Salvadori,0
104,7,GB,Mike Hawthorn,7
104,4,Arg,Juan Manuel Fangio,4
104,5,Arg,José Froilán Gonzalez,5
104,1,It,Alberto Ascari,1
104,6,It,Giuseppe Farina,6
104,3,It,Luigi Villoresi,3
104,9,Swz,Emmanuel de Graffenried,9
104,10,Fr,Louis Rosier,10
104,8,Arg,Onofre Marimón,8
104,22,Fr,Jean Behra,22
104,12,GB,Bob Gerard,12
104,21,Bel,Johnny Claes,21
104,17,GB,Peter Collins,17
104,18,Fr,Yves Giraud-Cabantous,18
104,25,Mon,Louis Chiron,25
104,2,It,Felice Bonetto,2
104,13,GB,Stirling Moss,13
104,11,Th,B. Bira,11
104,15,Fr,Élie Bayol,15
104,14,GB,Ken Wharton,14
104,23,Fr,Maurice Trintignant,23
104,16,GB,Lance Macklin,16
104,20,USA,Harry Schell,20
104,24,Arg,Roberto Mieres,24
104,19,GB,Roy Salvadori,19
5,1,It,Alberto Ascari,1
5,2,Arg,Juan Manuel Fangio,2
5,3,It,Giuseppe Farina,3
5,4,Arg,José Froilán Gonzalez,3
5,5,GB,Mike Hawthorn,4
5,6,It,Felice Bonetto,5
5,7,Th,B. Bira,5
5,8,GB,Ken Wharton,6
5,R,GB,Jimmy Stewart,7
5,9,GB,Peter Whitehead,8
5,10,Fr,Louis Rosier,9
5,R,GB,Tony Rolt,0
5,R,It,Luigi Villoresi,0
5,R,Arg,Onofre Marimón,0
5,R,GB,Alan Brown,0
5,R,GB,Peter Collins,10
5,R,GB,Jack Fairman,0
5,R,GB,Roy Salvadori,0
5,R,Swz,Emmanuel de Graffenried,0
5,R,GB,Lance Macklin,0
5,R,Fr,Jean Behra,0
5,R,GB,Ian Stewart,0
5,R,Fr,Maurice Trintignant,0
5,R,GB,Duncan Hamilton,0
5,R,GB,Bob Gerard,0
5,R,USA,Harry Schell,0
5,R,GB,Ken McAlpine,0
5,R,GB,Tony Crook,0
105,1,It,Alberto Ascari,1
105,4,Arg,Juan Manuel Fangio,4
105,5,It,Giuseppe Farina,5
105,2,Arg,José Froilán Gonzalez,2
105,3,GB,Mike Hawthorn,3
105,16,It,Felice Bonetto,16
105,19,Th,B. Bira,19
105,11,GB,Ken Wharton,11
105,15,GB,Jimmy Stewart,15
105,14,GB,Peter Whitehead,14
105,24,Fr,Louis Rosier,24
105,10,GB,Tony Rolt,10
105,6,It,Luigi Villoresi,6
105,7,Arg,Onofre Marimón,7
105,21,GB,Alan Brown,21
105,23,GB,Peter Collins,23
105,27,GB,Jack Fairman,27
105,28,GB,Roy Salvadori,28
105,26,Swz,Emmanuel de Graffenried,26
105,12,GB,Lance Macklin,12
105,22,Fr,Jean Behra,22
105,20,GB,Ian Stewart,20
105,8,Fr,Maurice Trintignant,8
105,17,GB,Duncan Hamilton,17
105,18,GB,Bob Gerard,18
105,9,USA,Harry Schell,9
105,13,GB,Ken McAlpine,13
105,25,GB,Tony Crook,25
6,1,It,Giuseppe Farina,1
6,2,Arg,Juan Manuel Fangio,2
6,3,GB,Mike Hawthorn,2
6,4,It,Felice Bonetto,3
6,5,Swz,Emmanuel de Graffenried,4
6,6,GB,Stirling Moss,4
6,7,Bel,Jacques Swaters,4
6,8,It It,Alberto Ascari Luigi Villoresi,4
6,9,Ger,Hans Herrman,4
6,10,Fr,Louis Rosier,4
6,11,GB,Rodney Nuckey,5
6,12,Ger,Theo Helfrich,5
6,13,GB,Ken McAlpine,5
6,14,Ger,Rudolf Krause,5
6,R,It It,Luigi Villoresi Alberto Ascari,0
6,R,GB,Alan Brown,0
6,15,Ger,Ernst Klodwig,6
6,16,Ger,Wolfgang Seidel,7
6,R,Arg,Onofre Marimón,0
6,R,Ger,Edgar Barth,0
6,R,Bel,Johnny Claes,0
6,R,Ger,Oswald Karch,0
6,R,Ger,Willi Heeks,0
6,R,Fr,Jean Behra,0
6,R,USA,Harry Schell,0
6,R,Th,B. Bira,0
6,R,Ger,Theo Fitzau,0
6,R,Ger,Kurt Adolff,0
6,R,Ger,Karl-Günther Bechem,0
6,R,Fr,Maurice Trintignant,0
6,R,GB,Roy Salvadori,0
6,R,Ger,Erwin Bauer,0
6,R,Ger,Hans Stuck,0
6,R,Ger,Ernst Loof,0
106,3,It,Giuseppe Farina,3
106,2,Arg,Juan Manuel Fangio,2
106,4,GB,Mike Hawthorn,4
106,7,It,Felice Bonetto,7
106,11,Swz,Emmanuel de Graffenried,11
106,12,GB,Stirling Moss,12
106,19,Bel,Jacques Swaters,19
