109,1966 French Grand Prix - qualifying,1966-07-02
111,1966 British Grand Prix - qualifying,1966-07-15
112,1966 Dutch Grand Prix - qualifying,1966-07-23
113,1966 German Grand Prix - qualifying,1966-08-06
114,1966 Italian Grand Prix - qualifying,1966-09-03
117,1966 United States Grand Prix - qualifying,1966-10-01
115,1966 Mexican Grand Prix - qualifying,1966-10-22
127,1967 South African Grand Prix - qualifying,1967-01-01
126,1967 Monaco Grand Prix - qualifying,1967-05-06
122,1967 Dutch Grand Prix - qualifying,1967-06-03
119,1967 Belgian Grand Prix - qualifying,1967-06-17
118,1967 French Grand Prix - qualifying,1967-07-01
120,1967 British Grand Prix - qualifying,1967-07-14
123,1967 German Grand Prix - qualifying,1967-08-05
121,1967 Canadian Grand Prix - qualifying,1967-08-26
124,1967 Italian Grand Prix - qualifying,1967-09-09
128,1967 United States Grand Prix - qualifying,1967-09-30
125,1967 Mexican Grand Prix - qualifying,1967-10-21
138,1968 South African Grand Prix - qualifying,1967-12-31
139,1968 Spanish Grand Prix - qualifying,1968-05-11
137,1968 Monaco Grand Prix - qualifying,1968-05-25
129,1968 Belgian Grand Prix - qualifying,1968-06-08
132,1968 Dutch Grand Prix - qualifying,1968-06-22
133,1968 French Grand Prix - qualifying,1968-07-06
130,1968 British Grand Prix - qualifying,1968-07-19
134,1968 German Grand Prix - qualifying,1968-08-03
135,1968 Italian Grand Prix - qualifying,1968-09-07
131,1968 Canadian Grand Prix - qualifying,1968-09-21
140,1968 United States Grand Prix - qualifying,1968-10-05
136,1968 Mexican Grand Prix - qualifying,1968-11-02
149,1969 South African Grand Prix - qualifying,1969-02-28
150,1969 Spanish Grand Prix - qualifying,1969-05-03
148,1969 Monaco Grand Prix - qualifying,1969-05-17
143,1969 Dutch Grand Prix - qualifying,1969-06-20
144,1969 French Grand Prix - qualifying,1969-07-05
141,1969 British Grand Prix - qualifying,1969-07-18
145,1969 German Grand Prix - qualifying,1969-08-02
146,1969 Italian Grand Prix - qualifying,1969-09-06
142,1969 Canadian Grand Prix - qualifying,1969-09-19
151,1969 United States Grand Prix - qualifying,1969-10-04
147,1969 Mexican Grand Prix - qualifying,1969-10-18
162,1970 South African Grand Prix - qualifying,1970-03-06
163,1970 Spanish Grand Prix - qualifying,1970-04-18
161,1970 Monaco Grand Prix - qualifying,1970-05-09
153,1970 Belgian Grand Prix - qualifying,1970-06-06
156,1970 Dutch Grand Prix - qualifying,1970-06-20
157,1970 French Grand Prix - qualifying,1970-07-04
154,1970 British Grand Prix - qualifying,1970-07-17
